title,artist,mental_health_tags,mood_score,energy,valence,tempo,spotify_url,preview_url,duration_ms,popularity,id
Calming Classical for Brain Development,Aby Lull,meditation|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/4hk00xg3a3DZpdw9AWcc75,,176563,16,4hk00xg3a3DZpdw9AWcc75
Ave María (Arr. Víkingur Ólafsson) - Upright Piano,Sigvaldi Kaldalóns,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/6MzbO6YS0M6tjwT93hjAl0,,216213,54,6MzbO6YS0M6tjwT93hjAl0
Classical Lullaby for Sound Sleep,Steven Snow,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/03siJKoe6jGURFRZcooIce,,166000,32,03siJKoe6jGURFRZcooIce
"Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy,meditation|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/3hCPh4oVVjaM8tv9sFH8cx,,294960,49,3hCPh4oVVjaM8tv9sFH8cx
Classical Baby Lullaby (Calming Bedtime Instrumental),Steven Snow,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/1HdT3H8zNMkMPS9oGnMsh9,,322000,31,1HdT3H8zNMkMPS9oGnMsh9
Sanctuary,Chad Lawson,mindfulness|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/5NILhtaOQF1sny3pE5lriu,,235179,49,5NILhtaOQF1sny3pE5lriu
"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)",Antonio Vivaldi,anxiety relief|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/4O4hgUqUndzrFtY4bSrJ8E,,114626,14,4O4hgUqUndzrFtY4bSrJ8E
The Fabelmans,John Williams,heartbreak|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/5T7vBdg23LE9Nzn1YRVBEO,,148800,51,5T7vBdg23LE9Nzn1YRVBEO
"Ich steh an deiner Krippen hier, BWV 469 (Arr. for Violin, String Quintet & Piano by Jan-Peter Klöpfel)",Johann Sebastian Bach,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/2PrqYBSMGhKaRz5g2t4IkY,,149130,11,2PrqYBSMGhKaRz5g2t4IkY
Memories of a Promenade II,Olga Scheps,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/4bFdyisLdkeS7tmbAWpl13,,206162,46,4bFdyisLdkeS7tmbAWpl13
"Moonlight Sonata Variation (From Piano Sonata No. 14, Op. 27, Arr. by Svetoslav Karparov)",Ludwig van Beethoven,emotional release|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/2COz0Kfk4kgKR4VIcFBJjR,,204926,12,2COz0Kfk4kgKR4VIcFBJjR
Respiro 3,Olivia Belli,loneliness|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/15y6K1TTpceurenY3mnIcD,,158689,45,15y6K1TTpceurenY3mnIcD
"Aria Variation (From Goldberg Variations, BWV 988, Arr. for Piano by Svetoslav Karparov)",Johann Sebastian Bach,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/351ZCfVlkvSMf4dJ47TZ84,,131160,12,351ZCfVlkvSMf4dJ47TZ84
Be My Home,Eunike Tanzil,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/7EqkO7UDHveqXYzPrOZYei,,284108,47,7EqkO7UDHveqXYzPrOZYei
"Bach: Prelude Piano Variation (After Cello Suite No. 1, BWV 1007, Arr. for Piano by Tim Allhoff)",Johann Sebastian Bach,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/7whgm65KCFdi3oADkKWuSd,,118583,11,7whgm65KCFdi3oADkKWuSd
Pohjola (Arr. for Strings by Carlos Hof),A. Blomqvist,heartbreak|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/2aWm6k9oNgtqJVq61KlANg,,224422,48,2aWm6k9oNgtqJVq61KlANg
"Air Piano Variation (From Orchestral Suite No. 3, BWV 1068, Arr. for Piano by Svetoslav Karparov)",Johann Sebastian Bach,meditation|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/5tEImMzMAG75QfUG1eAYAy,,151923,11,5tEImMzMAG75QfUG1eAYAy
"6 Piano Pieces, Op. 118: No. 2: Intermezzo in A Major",Johannes Brahms,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/4vkqi5dSvHacpSjWXSGfCE,,353739,48,4vkqi5dSvHacpSjWXSGfCE
"Für Elise Variation (From Bagatelle in A Minor, WoO 59, Arr. by Svetoslav Karparov)",Ludwig van Beethoven,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/0v2BY7KweC1wcIsTiMSwuz,,160920,12,0v2BY7KweC1wcIsTiMSwuz
"Comptine d'un autre été : L'Après-midi (Arr. for Guitar by Sérgio Assad) - From ""Amélie""",Plínio Fernandes,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/11mMxszI9b0Q7THI49jbkE,,216021,47,11mMxszI9b0Q7THI49jbkE
"Ich ruf zu dir, Herr Jesu Christ - Chorale Prelude, BWV 639",Johann Sebastian Bach,loneliness|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/1kNS9nX9VhgHh06j8VszgA,,158720,13,1kNS9nX9VhgHh06j8VszgA
"Concerto in D Major, Op. 77: II. Adagio",Johannes Brahms,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/5LYhSHQeSvuFPUq7VeMQ74,,521000,45,5LYhSHQeSvuFPUq7VeMQ74
"Mozart Symphony 40 Variation (From Symphony No. 40, K. 550, Arr. for Piano by Svetoslav Karparov)",Wolfgang Amadeus Mozart,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/3XCa8R7YuRwoOkbaDaNhRq,,161400,12,3XCa8R7YuRwoOkbaDaNhRq
Sanctuary,Chad Lawson,meditation|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/5DhX83YoQlvLJCGLfHAjgr,,235179,35,5DhX83YoQlvLJCGLfHAjgr
"Joy (After Bach's Jesu, Joy of Man's Desiring, BWV 147, No. 10 and Beethoven's Symphony No. 9, Op.125: IV. ""Ode to Joy"")",Ludwig van Beethoven,meditation|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/1wGfBf7UD1EnL9aM1krVBc,,171198,11,1wGfBf7UD1EnL9aM1krVBc
The Poetry of Earth (Geophony),Max Richter,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/7KlEneV61uKBPARSDEse5k,,238167,40,7KlEneV61uKBPARSDEse5k
Die Zauberflöte: Aria Variation (Arr. for Piano from K. 620 by Vivan und Ketan Bhatti),Wolfgang Amadeus Mozart,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/6kf9L9hHVPqpTNhaauz0jP,,176346,13,6kf9L9hHVPqpTNhaauz0jP
"Comptine d'un autre été : L'Après-midi (Arr. for Guitar by Sérgio Assad) - From ""Amelie""",Plínio Fernandes,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/7skAmwWY8U9hD2BJiyb9SW,,216021,35,7skAmwWY8U9hD2BJiyb9SW
"Double Concerto for Violin, Cello, Strings and Continuo in B-Flat Major, RV 547: II. Andante",Antonio Vivaldi,meditation|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/34xJyPUWlSlM0P2QfMUXkQ,,106413,11,34xJyPUWlSlM0P2QfMUXkQ
Lily’s Lullaby,RIOPY,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/7sximELhhshAcurlFEDhU5,,239866,36,7sximELhhshAcurlFEDhU5
"The Four Seasons - Violin Concerto in F Minor, RV 297, ""Winter"", Arr. for Violoncello: II. Largo",Antonio Vivaldi,mindfulness|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/4RuUAyrxdXNrnt6uslrH4V,,110693,11,4RuUAyrxdXNrnt6uslrH4V
"5 Lieder, Op. 49: No. 4, Wiegenlied - Brahms's Lullaby",Johannes Brahms,heartbreak|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/5CxgVB5HIfFapaJxcUvgNz,,127849,28,5CxgVB5HIfFapaJxcUvgNz
"Liszt: Liebestraum Variation (After Liebesträume, S.541, No. 3, Arr. for Piano by E. M. Fard)",Franz Liszt,mindfulness|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/4SKRo0gYwdQVwbbR57IHGh,,179080,12,4SKRo0gYwdQVwbbR57IHGh
Relief,oakwhisper,grief support|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/6b4RfpKFToSrN2iKBRO2H9,,143875,27,6b4RfpKFToSrN2iKBRO2H9
Baby Mozart (For Deep Sleep),Steven Snow,grief support|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/7mRrJYf1dXancjFXxH863j,,334000,43,7mRrJYf1dXancjFXxH863j
April Evenings Arr. For Cello,Slow Rising Hope,mindfulness|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/7COwWeW4djcR9crkgXA0xk,,61184,34,7COwWeW4djcR9crkgXA0xk
"Mozart Variation (After Serenade, K. 250 ""Haffner"", IV. Rondo, Arr. for Cello & Piano by Florian Christl)",Wolfgang Amadeus Mozart,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/1UXeDBLdhs30fNn3JGOlT0,,226106,8,1UXeDBLdhs30fNn3JGOlT0
"Serenade for Strings in E Major, Op. 22: IV. Larghetto",Antonín Dvořák,anxiety relief|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/16sayiGfbjW2FRMICPMC7S,,392705,24,16sayiGfbjW2FRMICPMC7S
"Siciliano (After ""Erbarme dich"" from Matthäus-Passion, BWV 244, No. 39)",Johann Sebastian Bach,loneliness|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/76SHuRWzzjviQU0wJUA1t3,,125200,7,76SHuRWzzjviQU0wJUA1t3
"Truth, And Then There Were Teardrops",Amy Dickson,heartbreak|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/3lfffGZeVtmT2iSKwL2x16,,220453,27,3lfffGZeVtmT2iSKwL2x16
"Bach Variation (Arr. for Violin, Piano and Orchestra after Violin Concerto in A-Minor, BWV 1041: II. Andante by Florian Christl)",Johann Sebastian Bach,loneliness|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/5ttusfnLCtxN0QdKf69Ifp,,143200,12,5ttusfnLCtxN0QdKf69Ifp
"Trois gymnopédies: No. 2, Lent et triste - Arr. for String Orchestra by Matt Naughtin",Erik Satie,meditation|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/78BSQdf6fZe254DKgYjOYm,,178000,26,78BSQdf6fZe254DKgYjOYm
"Suite for Orchestra No. 1 in C Major, BWV 1066: Courante",Johann Sebastian Bach,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/20GEJqDkkhTWPSVNe0yX2K,,153560,9,20GEJqDkkhTWPSVNe0yX2K
"Suite from the Gadfly, Op. 97a: VIII. Romance",Dmitri Shostakovich,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/2O2VlTwUnVgBuVUJikG6Tm,,227595,23,2O2VlTwUnVgBuVUJikG6Tm
"Bach Ouverture Piano Variation (From Orchestral Suite No. 2 in B Minor, BWV 1067, Arr. for Piano by Jan-Peter Klöpfel)",Johann Sebastian Bach,mindfulness|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/650bng8gDOuiXne7pZ3RwR,,94400,10,650bng8gDOuiXne7pZ3RwR
Prayer for Peace,Gerard Cousins,meditation|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/5OEXouJoWXvZ8jua7eOFjJ,,73280,31,5OEXouJoWXvZ8jua7eOFjJ
"Sonata for Piano and Viola in C Major, K. 14: II. Allegro",Wolfgang Amadeus Mozart,emotional release|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/5HOSm0iKC5PmgTc9K6waD6,,193160,8,5HOSm0iKC5PmgTc9K6waD6
Meditation Rain,chill phil,mindfulness|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/3emPg4tCQfZsuupxfT0Imu,,174000,56,3emPg4tCQfZsuupxfT0Imu
Huma,Soothing Dreamscapes,meditation|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/4sUDVt3gP4omAmrt6UzI4g,,144766,43,4sUDVt3gP4omAmrt6UzI4g
Soothing Ambient Wellness Awakening Serenity Nature,Natura Ferox,mindfulness|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/3KMMM0Qc0MbiQIX6ZdJBLC,,188624,0,3KMMM0Qc0MbiQIX6ZdJBLC
Distant Memories,Restful Minds,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/4JqUCpRwTTaF3iHHzPE5Z0,,160029,45,4JqUCpRwTTaF3iHHzPE5Z0
Meditation Music,Rain Sounds,mindfulness|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/4ZchQ7EWdu11nOBCMgXii8,,240000,35,4ZchQ7EWdu11nOBCMgXii8
Whispering Winds,Enyaq,loneliness|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/4WtOiVV0INe9P4UranCTBy,,209971,40,4WtOiVV0INe9P4UranCTBy
Ambient Flute For Healing,The Whispering Hymn,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/6cnFFfEODwVgIAKWG9fCbc,,75000,33,6cnFFfEODwVgIAKWG9fCbc
Astral Protection,Kai Stellar,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/0bqR8enf1eym5wMJhchZTg,,145962,38,0bqR8enf1eym5wMJhchZTg
ambient flute dreams,Rakesh Chaurasia,emotional release|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/28PALefb4KjdZN5uHG4gVf,,90425,0,28PALefb4KjdZN5uHG4gVf
Pluma In Ventum,Humilis,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/0AAdw5gadOl6sZDdoc6tpa,,168000,33,0AAdw5gadOl6sZDdoc6tpa
Ambient Music,Meditation Music Zone,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/3B7GR0pwaGZD9T8Lid60Ij,,237000,30,3B7GR0pwaGZD9T8Lid60Ij
Ichige,Kenshō88,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/4pqONv00Hv4ZdnV2wdQ5gl,,199967,33,4pqONv00Hv4ZdnV2wdQ5gl
Transcendence Universe Celestial Ambient,Natura Ferox,emotional release|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/4nLV46HcXhxjBeMLmylYfq,,186037,0,4nLV46HcXhxjBeMLmylYfq
Daishū,Kenshō88,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/1u1rwLnF2pIxQmIbSlbOjD,,198600,32,1u1rwLnF2pIxQmIbSlbOjD
Meditation Flute Music,The Whispering Hymn,mindfulness|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/5a47hoJ7EmsVK4aVcspigy,,69418,29,5a47hoJ7EmsVK4aVcspigy
Ambient Flute Sounds,The Whispering Hymn,meditation|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/1NtwykaB2mdZmRdk3wiGgB,,69665,29,1NtwykaB2mdZmRdk3wiGgB
Healing Heart,Twin Mudra,grief support|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/6xIUVK9G4hyroeIx2E7lwp,,113928,30,6xIUVK9G4hyroeIx2E7lwp
Ambient Enlightenment Balance Dusk,Mbrs Gear,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/5Xt0fzNARZdHN9MJlZuHuc,,149004,0,5Xt0fzNARZdHN9MJlZuHuc
Ocean Dreams,Peaceful Balance,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/7kL65azoRRKSgddau3gfvp,,136000,24,7kL65azoRRKSgddau3gfvp
Meditation No. 1,Laraaji,loneliness|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/3Z9PWaE8d55XcOxEHwx6U8,,1127173,27,3Z9PWaE8d55XcOxEHwx6U8
Gathered in Light,Aum,mindfulness|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/4gDbLert5ojJULxr2QG2kB,,143225,23,4gDbLert5ojJULxr2QG2kB
